entity,type,indicator,fill_trust,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bull,1397,80408.92,57.56,4.05,81.1
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold downtrend,440,27282.42,62.01,4.04,27.5
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold uptrend,1336,71814.87,53.75,4.02,72.5
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bear,786,44482.86,56.59,4.06,44.0
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bull,1053,56709.03,53.85,3.97,56.0
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates falling,716,42691.26,59.62,4.38,41.4
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates rising,1163,60469.53,51.99,3.8,58.6
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil downtrend,928,48393.28,52.15,4.09,48.8
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil uptrend,848,50704.01,59.79,3.98,51.2
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,calm,405,31140.69,76.89,4.84,28.3
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,normal,1205,54371.02,45.12,3.66,49.4
BitcoinReaper_2_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,stressed,370,24614.58,66.53,4.53,22.4
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,strong dollar,989,88620.06,89.61,6.25,60.3
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,weak dollar,891,58229.86,65.35,4.97,39.7
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bear,379,30194.35,79.67,6.01,21.3
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bull,1398,111541.47,79.79,5.61,78.7
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold downtrend,441,38544.35,87.4,6.26,27.2
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold uptrend,1336,103191.47,77.24,5.51,72.8
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bear,787,69567.44,88.4,6.43,48.3
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bull,1053,74412.58,70.67,5.07,51.7
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates falling,716,56319.47,78.66,5.59,38.4
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates rising,1164,90530.45,77.78,5.71,61.6
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil downtrend,928,57462.74,61.92,4.66,40.5
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil uptrend,849,84273.08,99.26,6.77,59.5
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,calm,405,29686.19,73.3,5.02,19.5
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,normal,1206,92292.29,76.53,5.7,60.6
BitcoinReaper_3_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,stressed,370,30251.2,81.76,6.26,19.9
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,strong dollar,990,69274.46,69.97,3.28,52.6
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,weak dollar,891,62452.6,70.09,3.49,47.4
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bear,379,33469.87,88.31,4.09,27.1
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bull,1399,90000.02,64.33,3.08,72.9
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold downtrend,441,27073.66,61.39,2.77,21.9
