ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path
GoldPhantom_Pkg_Conservative,GoldPhantom_Pkg_Conservative,Gold Phantom Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,0.0,94584.95,2396.78,1.73,2.59,2810,2018-01-03 21:07:40,2026-08-12 15:45:00,51.8,14,7,1117.92,2.97,18,474.98,0.35,C:\BulkBackTest\Packaged EA\compile_in\Gold Phantom Packaged\GoldPhantom_Pkg_Conservative.html
GoldPhantom_Pkg_ExtremeConservative,GoldPhantom_Pkg_ExtremeConservative,Gold Phantom Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,0.0,78016.4,2564.12,1.91,2.03,790,2018-01-03 21:07:40,2026-08-11 08:11:40,48.6,12,7,1774.07,3.17,10,543.34,0.38,C:\BulkBackTest\Packaged EA\compile_in\Gold Phantom Packaged\GoldPhantom_Pkg_ExtremeConservative.html
GoldPhantom_Pkg_Moderate,GoldPhantom_Pkg_Moderate,Gold Phantom Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,0.0,100394.5,2108.61,1.49,1.64,5150,2018-01-03 21:07:40,2026-08-12 16:00:40,58.6,17,8,1319.79,3.17,28,415.45,0.3,C:\BulkBackTest\Packaged EA\compile_in\Gold Phantom Packaged\GoldPhantom_Pkg_Moderate.html
GoldReaper_Pkg_Conservative,GoldReaper_Pkg_Conservative,Gold Reaper Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,0.0,127532.66,5823.19,3.13,3.75,2757,2018-01-04 22:04:40,2026-08-12 15:31:00,67.2,12,7,3310.52,2.24,25,756.3,0.63,C:\BulkBackTest\Packaged EA\compile_in\Gold Reaper Packaged\GoldReaper_Pkg_Conservative.html
GoldReaper_Pkg_ExtremeConservative,GoldReaper_Pkg_ExtremeConservative,Gold Reaper Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,0.0,93303.34,6516.14,4.33,6.59,793,2018-01-10 15:38:40,2026-08-05 08:59:40,61.7,15,5,6491.18,3.2,20,1161.09,0.87,C:\BulkBackTest\Packaged EA\compile_in\Gold Reaper Packaged\GoldReaper_Pkg_ExtremeConservative.html
GoldReaper_Pkg_Intense,GoldReaper_Pkg_Intense,Gold Reaper Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,0.0,122024.5,6637.12,3.68,3.99,9568,2018-01-04 22:04:40,2026-08-12 21:09:40,65.1,34,6,4580.96,4.47,43,306.5,0.74,C:\BulkBackTest\Packaged EA\compile_in\Gold Reaper Packaged\GoldReaper_Pkg_Intense.html
GoldReaper_Pkg_Moderate,GoldReaper_Pkg_Moderate,Gold Reaper Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,0.0,133623.57,5731.82,3.09,3.74,5821,2018-01-04 21:23:00,2026-08-12 23:58:59,67.2,21,5,3794.54,3.41,31,451.4,0.62,C:\BulkBackTest\Packaged EA\compile_in\Gold Reaper Packaged\GoldReaper_Pkg_Moderate.html
GoldBotOne_Pkg,GoldBotOne_Pkg,GoldBotOne Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,9410.0,58941.51,2681.3,2.12,2.26,2095,2018-01-02 15:42:00,2026-08-11 04:02:40,55.0,21,7,2036.79,3.32,23,354.77,0.42,C:\BulkBackTest\Packaged EA\compile_in\GoldBotOne Packaged\GoldBotOne_Pkg.html
GoldTradePro_Pkg,GoldTradePro_Pkg,GoldTradePro Packaged,XAUUSD.a,Daily,,,100000,5.0,0.0,23200.0,34922.81,1039.38,0.89,1.25,2247,2018-01-10 14:39:20,2026-08-11 08:26:40,62.0,22,9,903.19,3.11,27,110.26,0.18,C:\BulkBackTest\Packaged EA\compile_in\GoldTradePro Packaged\GoldTradePro_Pkg.html
