entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
FAMILY: Gold Phantom Packaged,family,SP500,stocks bull,822,177566.53,216.02,3.22,80.1
FAMILY: Gold Phantom Packaged,family,GOLD,gold downtrend,272,39935.75,146.82,2.71,18.0
FAMILY: Gold Phantom Packaged,family,GOLD,gold uptrend,766,181737.98,237.26,3.45,82.0
FAMILY: Gold Phantom Packaged,family,BTC,crypto bear,457,83959.21,183.72,2.72,34.8
FAMILY: Gold Phantom Packaged,family,BTC,crypto bull,622,157197.33,252.73,3.68,65.2
FAMILY: Gold Phantom Packaged,family,US10Y,rates falling,413,111040.81,268.86,3.66,47.0
FAMILY: Gold Phantom Packaged,family,US10Y,rates rising,694,124998.11,180.11,2.8,53.0
FAMILY: Gold Phantom Packaged,family,OIL,oil downtrend,522,128462.28,246.1,3.73,58.0
FAMILY: Gold Phantom Packaged,family,OIL,oil uptrend,516,93211.45,180.64,2.8,42.0
FAMILY: Gold Phantom Packaged,family,VIX,calm,259,56054.66,216.43,2.71,22.4
FAMILY: Gold Phantom Packaged,family,VIX,normal,679,156580.95,230.61,3.49,62.6
FAMILY: Gold Phantom Packaged,family,VIX,stressed,228,37580.14,164.83,2.71,15.0
FAMILY: Gold Reaper Packaged,family,DXY,strong dollar,591,230392.6,389.84,4.16,53.7
FAMILY: Gold Reaper Packaged,family,DXY,weak dollar,516,198558.91,384.8,3.38,46.3
FAMILY: Gold Reaper Packaged,family,SP500,stocks bear,216,104842.58,485.38,4.8,25.9
FAMILY: Gold Reaper Packaged,family,SP500,stocks bull,822,299175.59,363.96,3.42,74.1
FAMILY: Gold Reaper Packaged,family,GOLD,gold downtrend,272,63951.86,235.12,2.81,15.8
FAMILY: Gold Reaper Packaged,family,GOLD,gold uptrend,766,340066.31,443.95,3.97,84.2
FAMILY: Gold Reaper Packaged,family,BTC,crypto bear,457,192298.59,420.78,3.91,45.4
FAMILY: Gold Reaper Packaged,family,BTC,crypto bull,622,230962.41,371.32,3.63,54.6
FAMILY: Gold Reaper Packaged,family,US10Y,rates falling,413,164656.86,398.68,3.91,38.4
FAMILY: Gold Reaper Packaged,family,US10Y,rates rising,694,264294.65,380.83,3.64,61.6
FAMILY: Gold Reaper Packaged,family,OIL,oil downtrend,522,213987.58,409.94,3.49,53.0
FAMILY: Gold Reaper Packaged,family,OIL,oil uptrend,516,190030.59,368.28,4.03,47.0
FAMILY: Gold Reaper Packaged,family,VIX,calm,259,82524.64,318.63,3.23,18.5
FAMILY: Gold Reaper Packaged,family,VIX,normal,679,285928.97,421.1,3.84,64.2
FAMILY: Gold Reaper Packaged,family,VIX,stressed,228,77244.27,338.79,3.83,17.3
FAMILY: GoldBotOne Packaged,family,DXY,strong dollar,591,26236.84,44.39,2.76,50.6
FAMILY: GoldBotOne Packaged,family,DXY,weak dollar,516,25639.07,49.69,2.76,49.4
FAMILY: GoldBotOne Packaged,family,SP500,stocks bear,216,11490.57,53.2,2.85,23.4
FAMILY: GoldBotOne Packaged,family,SP500,stocks bull,822,37593.99,45.73,2.8,76.6
FAMILY: GoldBotOne Packaged,family,GOLD,gold downtrend,272,9655.81,35.5,2.04,19.7
FAMILY: GoldBotOne Packaged,family,GOLD,gold uptrend,766,39428.75,51.47,3.09,80.3
FAMILY: GoldBotOne Packaged,family,BTC,crypto bear,457,19690.88,43.09,2.35,37.1
FAMILY: GoldBotOne Packaged,family,BTC,crypto bull,622,33390.93,53.68,3.33,62.9
FAMILY: GoldBotOne Packaged,family,US10Y,rates falling,413,24243.23,58.7,3.46,46.7
FAMILY: GoldBotOne Packaged,family,US10Y,rates rising,694,27632.68,39.82,2.34,53.3
FAMILY: GoldBotOne Packaged,family,OIL,oil downtrend,522,26148.29,50.09,3.2,53.3
FAMILY: GoldBotOne Packaged,family,OIL,oil uptrend,516,22936.27,44.45,2.47,46.7
FAMILY: GoldBotOne Packaged,family,VIX,calm,259,11447.68,44.2,2.5,20.7
FAMILY: GoldBotOne Packaged,family,VIX,normal,679,35653.58,52.51,3.23,64.5
FAMILY: GoldBotOne Packaged,family,VIX,stressed,228,8193.05,35.93,1.99,14.8
FAMILY: GoldTradePro Packaged,family,DXY,strong dollar,591,13864.17,23.46,2.6,45.8
FAMILY: GoldTradePro Packaged,family,DXY,weak dollar,516,16388.23,31.76,3.5,54.2
FAMILY: GoldTradePro Packaged,family,SP500,stocks bear,216,7007.11,32.44,3.11,25.2
FAMILY: GoldTradePro Packaged,family,SP500,stocks bull,822,20823.79,25.33,2.98,74.8
FAMILY: GoldTradePro Packaged,family,GOLD,gold downtrend,272,4820.15,17.72,2.1,17.3
