date,GoldBotOne_Pkg,GoldPhantom_Pkg_Conservative,GoldPhantom_Pkg_ExtremeConservative,GoldPhantom_Pkg_Moderate,GoldReaper_Pkg_Conservative,GoldReaper_Pkg_ExtremeConservative,GoldReaper_Pkg_Intense,GoldReaper_Pkg_Moderate,GoldTradePro_Pkg
2018-05-17,0.0,0.0,0.0,4.27,7.48,0.0,0.43,2.42,0.0
2018-05-18,0.0,0.0,0.0,0.0,0.0,0.0,-49.77,-32.95,0.0
2018-05-21,195.94,319.69,385.89,410.67,536.16,0.0,146.52,185.44,0.0
2018-05-22,180.49,11.02,0.0,-29.96,19.36,0.0,13.93,0.78,0.0
2018-05-23,0.0,0.0,0.0,21.68,18.4,0.0,7.26,10.89,0.0
2018-05-24,97.96,11.02,0.0,12.14,7.36,0.0,539.18,372.72,0.0
2018-05-29,0.0,11.11,0.0,22.58,-553.76,0.0,-418.96,-120.12,0.0
2018-05-31,0.0,-155.36,0.0,-275.17,-86.4,0.0,-132.42,-109.41,-97.38
2018-06-01,0.0,0.0,0.0,0.0,-1069.8,0.0,-1248.62,-978.66,0.0
2018-06-05,0.0,-57.56,0.0,-57.56,-295.32,0.0,-350.11,-321.59,0.0
2018-06-06,0.0,0.0,0.0,4.18,16.29,0.0,-320.62,-476.26,0.0
2018-06-07,0.0,0.0,0.0,2.56,0.0,0.0,2.79,8.37,0.0
2018-06-12,0.0,-41.24,0.0,-127.72,0.0,0.0,-137.55,-54.89,0.0
2018-06-13,-181.62,-71.34,-89.93,-71.46,0.0,0.0,-132.53,11.7,-81.6
2018-06-14,-93.98,-220.77,-254.56,-160.69,-561.51,7.6,-492.01,-1266.86,-7.38
2018-06-15,355.64,19.74,-65.21,-67.56,3.63,-47.79,546.9,455.85,116.61
2018-06-18,118.8,0.0,0.0,0.0,33.4,108.55,12.97,18.91,56.86
2018-06-19,0.0,621.93,470.92,549.4,268.66,0.0,367.34,268.01,77.82
2018-06-20,0.0,236.44,0.0,241.25,-41.82,0.0,-30.84,-3.76,0.0
2018-06-21,0.0,0.0,0.0,199.53,68.69,0.0,568.28,398.64,0.0
2018-06-22,0.0,430.8,559.55,479.42,0.0,0.0,0.0,0.0,0.0
2018-06-26,48.15,48.86,0.0,77.55,388.49,153.0,733.78,649.35,239.13
2018-06-27,80.26,0.0,0.0,0.0,781.02,0.0,303.65,477.55,0.0
2018-06-28,0.0,206.04,0.0,174.35,811.15,0.0,315.86,498.19,0.0
2018-06-29,0.0,549.03,664.42,448.85,0.0,0.0,0.0,0.0,0.0
2018-07-02,0.0,84.83,0.0,111.19,423.87,0.0,1057.19,907.4,0.0
2018-07-03,0.0,10.66,0.0,18.68,33.32,0.0,30.65,55.78,-25.96
2018-07-04,0.0,0.0,0.0,0.0,0.0,0.0,59.48,40.21,0.0
2018-07-09,-75.99,2.43,0.0,56.43,155.5,0.0,506.15,113.32,-0.28
2018-07-10,-155.01,-156.47,-135.25,-107.98,145.31,0.0,72.12,264.71,-3.44
2018-07-11,0.0,10.75,0.0,17.9,39.26,0.0,89.04,36.31,0.0
2018-07-13,-150.24,-110.35,-79.64,-48.24,-146.35,-330.68,-27.52,-55.89,-244.07
2018-07-16,0.0,-33.57,-41.22,-27.47,-113.4,0.0,-41.21,-65.74,-159.66
2018-07-17,92.32,26.32,0.0,66.68,979.82,727.1,636.4,654.12,206.28
2018-07-18,239.75,411.14,261.87,333.06,0.0,0.0,0.0,0.0,0.0
2018-07-19,536.84,584.31,725.96,863.94,473.69,0.0,327.21,344.69,161.01
2018-07-26,0.0,-152.21,0.0,-319.6,-469.65,0.0,-1010.65,-521.32,-58.64
2018-07-27,0.0,-13.76,0.0,-18.05,12.61,0.0,-421.87,-235.08,-31.63
2018-07-31,0.0,42.18,0.0,-3.48,216.97,0.0,451.99,710.25,-39.68
2018-08-02,594.92,-28.54,-30.72,-21.28,155.38,0.0,216.86,301.83,0.0
2018-08-03,207.94,202.18,51.65,227.61,406.37,869.16,510.46,316.61,371.25
2018-08-08,0.0,-51.35,0.0,-183.48,-15.02,0.0,-11.59,-20.73,0.0
2018-08-09,0.0,-16.43,0.0,-39.52,-245.52,0.0,-297.69,-257.68,0.0
2018-08-10,0.0,-38.58,0.0,-36.52,-301.81,0.0,-889.32,-987.17,-54.24
2018-08-13,439.77,-0.59,0.0,-70.06,439.39,1308.53,-461.79,-242.98,464.72
2018-08-14,0.0,0.0,0.0,0.0,-53.95,0.0,-83.04,-25.38,0.0
2018-08-15,0.0,426.08,263.54,530.97,273.02,0.0,412.56,294.5,0.0
2018-08-16,0.0,2125.95,2610.2,1716.22,825.79,0.0,350.59,506.97,0.0
2018-08-22,0.0,11.25,0.0,11.25,0.0,0.0,0.0,0.0,0.0
2018-08-24,0.0,11.35,0.0,20.9,146.2,0.0,100.0,90.62,0.0
2018-08-27,0.0,0.0,0.0,33.38,278.73,0.0,67.41,149.56,16.74
2018-08-28,0.0,21.83,0.0,43.92,43.59,0.0,0.0,21.71,0.0
2018-08-30,0.0,10.21,0.0,13.04,56.95,0.0,165.22,153.28,-4.6
2018-08-31,0.0,10.3,0.0,-29.78,0.0,0.0,2.14,8.95,0.0
2018-09-03,0.0,-2.75,0.0,-28.09,16.15,0.0,-357.47,-234.88,0.0
2018-09-04,0.0,-8.07,0.0,-6.5,27.3,0.0,61.02,121.48,0.0
2018-09-11,-402.87,10.87,0.0,14.7,118.99,0.0,19.74,87.37,-21.53
2018-09-12,0.0,-343.04,-415.49,-267.1,-5.78,0.0,-37.98,-22.11,0.0
2018-09-13,-242.74,-279.11,-230.28,-237.41,-135.07,0.0,-57.79,-34.21,-48.51
2018-09-19,0.0,-4.85,0.0,-4.74,0.0,0.0,0.0,0.0,0.0
2018-09-21,-417.71,-128.22,-163.25,-97.6,-131.95,0.0,-50.25,-69.69,-31.57
2018-09-24,0.0,0.0,0.0,0.0,-295.93,0.0,-660.84,-514.81,0.0
2018-09-26,-373.82,-162.52,-133.84,-128.71,-110.3,0.0,-40.93,-70.48,-92.14
2018-09-27,107.76,0.0,0.0,0.0,82.76,88.79,126.22,294.64,106.02
2018-09-28,-26.86,53.58,40.9,115.17,0.0,0.0,0.0,0.0,10.05
2018-10-02,0.0,52.55,0.0,68.85,0.0,0.0,175.13,184.6,0.0
2018-10-08,0.0,-4.99,0.0,19.37,140.36,0.0,437.08,416.79,61.64
2018-10-09,0.0,0.0,0.0,-38.33,0.0,0.0,0.0,0.0,0.0
2018-10-10,0.0,0.0,0.0,0.0,-279.1,0.0,-193.9,-163.21,0.0
2018-10-11,446.75,405.48,249.04,375.47,268.61,201.88,154.31,251.84,306.92
2018-10-12,0.0,211.12,254.68,228.17,0.0,0.0,0.0,0.0,0.0
2018-10-15,-16.98,51.57,0.0,72.77,286.66,0.0,245.41,421.91,0.0
2018-10-16,0.0,-75.82,-86.85,-59.64,0.0,0.0,0.0,301.22,0.0
2018-10-17,-161.18,0.0,0.0,0.0,481.04,0.0,180.0,0.0,0.0
2018-10-18,0.0,0.0,0.0,17.94,37.66,0.0,17.8,29.95,0.0
2018-10-19,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0
2018-10-22,0.0,0.0,0.0,-59.46,-296.04,0.0,0.0,-187.91,0.0
2018-10-23,143.8,-161.68,-247.94,-73.09,388.38,162.96,771.75,651.99,221.23
2018-10-24,0.0,-64.06,0.0,-50.4,0.0,0.0,0.0,0.0,0.0
2018-10-25,0.0,0.0,0.0,0.0,-265.56,0.0,-495.1,-342.03,0.0
2018-10-26,-476.75,-414.77,-475.55,-260.91,337.94,47.25,221.95,476.83,42.81
2018-10-29,0.0,5.6,0.0,-96.42,0.0,0.0,8.8,10.85,0.0
2018-10-30,0.0,-39.38,0.0,-69.67,0.0,0.0,106.92,176.91,0.0
2018-10-31,115.86,0.0,0.0,0.0,0.0,0.0,621.52,142.65,57.05
2018-11-01,21.56,-76.48,-60.08,-33.51,69.88,0.0,0.0,45.37,0.0
2018-11-06,0.0,5.95,0.0,23.19,33.36,0.0,62.04,47.9,0.0
2018-11-07,0.0,0.0,0.0,-60.69,-533.95,0.0,-718.62,-315.3,0.0
2018-11-08,0.0,10.34,0.0,-79.11,-1.66,0.0,21.99,34.55,0.0
2018-11-09,43.12,10.48,0.0,10.48,5.84,6.51,15.55,8.99,7.47
2018-11-12,303.57,0.0,0.0,0.0,47.52,0.0,20.06,29.39,0.0
2018-11-13,242.76,407.76,0.0,320.26,0.0,0.0,0.0,0.0,66.85
2018-11-14,53.0,281.46,343.75,335.41,0.0,0.0,0.0,0.0,0.0
2018-11-16,0.0,10.3,0.0,18.89,18.87,0.0,26.15,49.29,0.0
2018-11-19,0.0,0.0,0.0,-7.43,0.0,0.0,-36.17,-24.11,0.0
2018-11-20,0.0,-13.5,0.0,-10.36,16.9,0.0,12.27,153.63,0.0
2018-11-21,0.0,10.39,0.0,16.82,35.96,0.0,14.79,28.0,0.0
2018-11-23,0.0,-23.86,0.0,-23.75,-42.16,0.0,-134.01,-110.36,0.0
2018-11-26,0.0,-36.88,0.0,-36.88,0.0,0.0,0.0,0.0,0.0
2018-11-27,0.0,10.37,0.0,-31.3,129.26,0.0,902.61,437.82,0.0
2018-11-28,0.0,0.0,0.0,1.57,-414.94,0.0,-174.79,-251.27,0.0
2018-11-29,0.0,-2.12,0.0,-26.14,-104.67,0.0,0.0,0.0,0.0
2018-12-03,42.54,10.39,0.0,27.28,53.88,11.13,92.6,162.74,2.34
2018-12-04,156.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55
2018-12-05,66.83,85.1,103.44,66.65,0.0,0.0,0.0,0.0,0.0
2018-12-06,-90.24,58.59,0.0,46.35,7.83,-248.85,23.59,41.87,-300.17
2018-12-07,-209.71,10.47,12.1,119.64,-150.48,-197.8,-74.21,-108.26,-28.94
2018-12-11,0.0,0.0,0.0,0.78,0.0,0.0,-1.73,0.0,0.0
2018-12-13,0.0,-4.78,0.0,-11.88,25.2,0.0,14.99,39.28,0.0
2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0,418.48,446.87,0.0
2018-12-17,0.0,-2.66,0.0,-1.0,0.0,0.0,-141.66,-208.54,0.0
2018-12-18,0.0,-3.52,0.0,-6.86,-83.32,-232.11,-46.34,-36.12,-25.62
2018-12-19,147.65,-21.96,-40.24,-27.22,942.91,297.6,464.96,451.31,325.64
2018-12-20,-5.36,0.0,0.0,24.09,39.43,0.0,28.23,55.8,-64.28
2018-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.49
2018-12-24,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26,95.36,40.4,24.25,30.27,351.99,0.0,419.67,403.25,-0.78
2018-12-27,0.0,-21.39,0.0,-39.13,-56.0,0.0,-120.41,-121.83,0.0
2018-12-28,0.0,30.56,0.0,99.79,117.74,0.0,86.53,79.56,0.0
2018-12-31,0.0,0.0,0.0,1.21,18.72,0.0,2.31,19.8,0.0
2019-01-04,0.0,10.93,0.0,10.93,0.0,0.0,0.0,0.0,0.0
2019-01-09,0.0,0.0,0.0,0.0,-38.76,0.0,-147.29,-6.7,0.0
2019-01-10,0.0,21.86,0.0,49.84,-76.24,-141.8,9.03,-26.56,0.0
2019-01-11,0.0,0.0,0.0,0.0,-332.06,-813.33,-204.24,-311.46,0.0
2019-01-14,0.0,-2.21,0.0,-2.21,0.0,0.0,0.0,0.0,0.0
2019-01-15,0.0,-12.74,0.0,-12.74,0.0,0.0,-95.65,-14.75,0.0
2019-01-16,0.0,0.0,0.0,-22.38,0.0,0.0,0.0,0.0,0.0
2019-01-17,0.0,0.0,0.0,-4.82,-20.24,0.0,-18.25,-32.47,0.0
2019-01-18,0.0,54.48,0.0,95.33,-304.92,0.0,-726.96,32.05,0.0
2019-01-21,0.0,0.0,0.0,0.0,0.0,0.0,14.93,0.0,0.0
2019-01-22,0.0,-57.94,0.0,-85.0,-109.46,0.0,-48.87,-68.57,45.65
2019-01-24,0.0,-99.24,-48.86,-111.15,-264.77,-173.0,-121.51,-119.99,-88.54
2019-01-25,111.23,213.95,0.0,241.35,173.46,-12.6,139.03,-161.14,39.01
2019-01-28,61.88,0.0,0.0,0.0,61.06,13.29,3.14,11.59,76.1
2019-01-29,197.54,173.28,0.0,146.51,212.46,319.18,86.46,123.59,7.54
2019-01-30,88.88,192.99,222.28,319.4,0.0,14.09,0.0,5.13,0.0
2019-01-31,0.0,0.0,0.0,162.71,0.0,0.0,0.0,0.0,-60.18
2019-02-01,272.34,781.23,970.49,625.91,0.0,0.0,0.0,0.0,0.0
2019-02-04,0.0,-39.11,0.0,-39.11,0.0,0.0,0.0,0.0,0.0
2019-02-06,0.0,30.57,0.0,39.39,0.0,0.0,-81.23,-60.59,0.0
2019-02-07,0.0,0.0,0.0,0.0,179.08,0.0,480.13,407.94,29.86
2019-02-11,0.0,0.0,0.0,0.0,0.0,0.0,-12.61,0.0,0.0
2019-02-12,0.0,0.0,0.0,0.0,0.0,0.0,-169.17,0.0,0.0
2019-02-13,0.0,38.59,0.0,76.31,50.94,0.0,63.72,89.06,-17.13
2019-02-14,-320.76,-287.28,-184.87,-303.6,-799.3,0.0,-172.46,-160.89,-179.55
2019-02-15,-130.03,11.11,0.0,-153.73,-10.08,0.0,-267.13,-607.38,0.0
2019-02-18,0.0,0.0,0.0,0.0,-25.35,-44.09,-20.97,-14.53,-1.22
2019-02-19,319.2,359.02,0.0,289.58,1564.91,2514.5,562.82,1112.49,9.29
2019-02-20,137.83,719.27,872.28,837.47,0.0,0.0,0.0,250.94,0.0
2019-02-21,-13.22,0.0,0.0,0.0,137.98,0.0,62.58,92.67,0.0
